IB1,IB2,IB3,IB4,IB5,IH1,IH2,IH3,IH4,lang,education_level,sex,country_origin,country,age,continent
1,1,7,1,1,1,1,1,1,1,Bachelor's degree,Female,84.0,AUS,22.0,Oceania
7,1,3,3,5,3,1,5,5,1,High school,Female,228.0,USA,21.0,North America
5,2,2,2,2,2,2,2,2,1,High school,Male,14.0,AUS,48.0,Oceania
4,2,2,4,7,2,2,4,4,1,High school,Male,228.0,USA,19.0,North America
2,4,7,2,4,7,5,7,6,1,Bachelor's degree,Female,156.0,NZL,22.0,Oceania
1,6,4,2,5,5,6,7,6,1,High school,Female,13.0,AUS,20.0,Oceania
3,5,5,1,2,4,6,6,3,1,Bachelor's degree,Female,156.0,AUS,20.0,Oceania
6,5,2,5,5,2,2,2,3,1,High school,Female,228.0,USA,19.0,North America
5,5,5,2,3,2,4,3,6,1,High school,Female,13.0,AUS,20.0,Oceania
6,4,2,7,7,1,1,1,1,1,Bachelor's degree,Male,203.0,AUS,34.0,Oceania
7,7,4,5,3,3,4,5,4,1,Master's degree,Female,203.0,AUS,33.0,Oceania
5,5,4,4,6,5,4,5,4,1,Bachelor's degree,Female,13.0,AUS,19.0,Oceania
4,4,3,4,4,4,4,4,4,1,High school,Male,13.0,AUS,19.0,Oceania
3,5,6,6,5,5,3,5,5,1,High school,Female,228.0,USA,18.0,North America
4,5,6,4,4,5,3,2,3,1,High school,Female,228.0,USA,20.0,North America
4,4,5,6,4,4,4,3,3,1,High school,Female,228.0,USA,19.0,North America
5,3,2,5,3,2,4,2,2,1,High school,Male,13.0,AUS,19.0,Oceania
2,5,3,5,6,3,2,3,3,1,High school,Female,13.0,AUS,30.0,Oceania
3,1,3,3,1,4,6,5,4,1,High school,Female,13.0,AUS,20.0,Oceania
3,4,5,2,5,6,5,3,5,6,Doctoral degree,Male,66.0,ESP,32.0,Europe
7,1,4,5,4,1,2,1,1,1,High school,Female,13.0,AUS,20.0,Oceania
5,2,2,2,4,2,2,1,6,1,Bachelor's degree,Female,13.0,AUS,45.0,Oceania
3,3,3,2,4,4,5,2,5,1,High school,Female,228.0,USA,19.0,North America
5,2,2,4,2,2,2,2,3,1,Bachelor's degree,Female,13.0,AUS,23.0,Oceania
2,2,2,2,2,6,6,2,6,1,Bachelor's degree,Male,13.0,AUS,18.0,Oceania
3,5,2,2,5,4,4,6,5,1,High school,Male,172.0,GBR,20.0,Europe
7,4,5,5,4,5,4,4,5,1,High school,Female,140.0,USA,19.0,North America
2,6,4,4,5,2,6,4,2,1,Bachelor's degree,Female,234.0,AUS,22.0,Oceania
7,6,6,5,6,4,3,5,4,1,High school,Female,13.0,AUS,19.0,Oceania
5,4,6,3,3,6,6,2,2,6,Bachelor's degree,Female,66.0,ESP,19.0,Europe
1,1,6,4,3,4,3,2,5,1,High school,Female,13.0,AUS,20.0,Oceania
3,3,5,6,3,3,3,3,4,1,Bachelor's degree,Female,13.0,AUS,27.0,Oceania
5,6,6,5,5,3,5,6,3,1,High school,Male,38.0,CAN,60.0,North America
5,5,5,3,4,4,4,5,4,1,Bachelor's degree,Female,81.0,NZL,23.0,Oceania
5,5,3,3,5,5,4,2,4,1,Bachelor's degree,Female,156.0,NZL,22.0,Oceania
6,6,6,5,6,2,3,2,3,1,High school,Female,81.0,NLD,19.0,Europe
5,6,4,4,5,4,4,3,3,1,High school,Female,13.0,AUS,19.0,Oceania
3,5,3,3,5,3,5,3,4,1,Bachelor's degree,Female,227.0,GBR,20.0,Europe
5,5,5,5,6,2,4,4,3,1,High school,Female,13.0,AUS,19.0,Oceania
3,5,2,1,5,5,1,5,2,1,High school,Female,13.0,AUS,18.0,Oceania
7,5,4,3,5,5,4,5,4,1,Bachelor's degree,Female,18.0,GBR,20.0,Europe
1,5,7,6,7,4,1,6,5,1,Bachelor's degree,Female,227.0,GBR,21.0,Europe
1,4,5,6,2,3,3,5,3,1,High school,Female,81.0,NLD,18.0,Europe
5,7,5,5,5,5,4,5,5,1,Bachelor's degree,Female,227.0,GBR,20.0,Europe
6,1,2,1,5,1,2,2,3,1,Bachelor's degree,Female,156.0,NZL,20.0,Oceania
6,6,2,4,5,2,5,5,5,1,Bachelor's degree,Female,13.0,AUS,19.0,Oceania
6,5,2,2,4,5,3,5,5,1,High school,Female,228.0,USA,21.0,North America
5,7,5,4,6,4,5,3,3,1,High school,Female,227.0,NLD,20.0,Europe
6,7,6,7,4,5,5,6,6,3,Master's degree,Male,1.0,ITA,27.0,Europe
2,4,6,4,5,6,4,2,6,1,High school,Female,228.0,USA,19.0,North America
6,2,2,6,6,6,6,6,6,3,Bachelor's degree,Male,1.0,ITA,38.0,Europe
5,5,3,2,6,2,2,3,3,1,High school,Female,227.0,GBR,20.0,Europe
2,5,3,2,3,3,4,5,5,1,High school,Male,226.0,AUS,19.0,Oceania
2,1,1,1,3,1,3,2,1,1,Bachelor's degree,Female,225.0,USA,22.0,North America
5,6,4,5,4,2,5,3,4,1,High school,Female,228.0,USA,19.0,North America
6,5,5,1,5,1,1,2,1,1,Bachelor's degree,Female,228.0,USA,19.0,North America
3,5,1,5,3,2,5,5,2,1,Bachelor's degree,Female,228.0,USA,20.0,North America
2,2,4,4,4,2,2,2,4,1,Bachelor's degree,Female,228.0,USA,20.0,North America
3,5,6,5,7,2,3,2,2,1,High school,Male,44.0,USA,20.0,North America
6,6,5,6,4,5,1,5,4,1,High school,Female,228.0,USA,19.0,North America
3,6,6,1,4,1,5,3,1,1,Bachelor's degree,Male,228.0,USA,22.0,North America
6,2,6,2,5,2,5,3,2,3,Master's degree,Female,1.0,ITA,27.0,Europe
2,5,2,2,2,6,6,5,4,1,Bachelor's degree,Male,13.0,AUS,30.0,Oceania
6,4,5,3,4,2,5,5,3,1,High school,Male,228.0,USA,19.0,North America
5,4,3,3,4,2,1,4,1,1,High school,Female,13.0,AUS,20.0,Oceania
6,6,5,2,5,3,6,1,5,1,High school,Female,228.0,USA,21.0,North America
3,5,4,2,5,3,3,2,3,1,Bachelor's degree,I wish not to answer,13.0,AUS,23.0,Oceania
5,4,1,5,5,5,5,4,5,1,Bachelor's degree,Female,156.0,NZL,43.0,Oceania
3,5,5,4,5,4,3,5,4,1,High school,Female,227.0,NLD,19.0,Europe
5,5,5,5,5,5,5,5,5,1,Bachelor's degree,Male,228.0,USA,21.0,North America
5,4,4,4,4,4,4,4,4,1,High school,Female,228.0,USA,20.0,North America
5,2,3,5,3,5,5,5,6,1,High school,Male,228.0,USA,22.0,North America
4,6,5,1,6,2,3,3,2,1,Bachelor's degree,Male,13.0,AUS,19.0,Oceania
5,3,4,4,3,3,1,1,4,1,High school,Female,228.0,USA,21.0,North America
5,4,4,4,4,5,4,5,4,1,High school,Male,13.0,AUS,25.0,Oceania
6,4,5,1,7,2,4,2,2,1,High school,Female,13.0,AUS,19.0,Oceania
